Reactor Number,Time ,Sand,Water,Biomass ,Respiration ,Year
1,0,GWS,GW,2.061496824,60.23683253,2014
1,7,GWS,GW,0.573052258,3.526929419,2014
1,14,GWS,GW,0.296541206,48.03324208,2014
1,21,GWS,GW,0.364089057,56.45419644,2014
1,28,GWS,GW,0.659595565,39.64051576,2014
1,35,GWS,GW,0.266934877,33.03505434,2014
2,0,GWS,GW,2.515267373,44.99499875,2014
2,7,GWS,GW,0.518263322,18.67257132,2014
2,14,GWS,GW,0.321752245,14.18758028,2014
2,21,GWS,GW,0.536669417,49.92647951,2014
2,28,GWS,GW,0.49074284,48.02754154,2014
2,35,GWS,GW,0.197251633,35.70433253,2014
3,0,GWS,GW,0.45902494,54.15160911,2014
3,7,GWS,GW,0.7568804,28.20933442,2014
3,14,GWS,GW,0.202280151,26.67945447,2014
3,21,GWS,GW,0.488701384,20.40013882,2014
3,28,GWS,GW,0.619432008,30.18489419,2014
3,35,GWS,GW,0.278891675,30.57956372,2014
4,0,GWS,AGW,1.015949866,50.22842052,2014
4,7,GWS,AGW,0.523018904,7.19000452,2014
4,14,GWS,AGW,0.182339442,0.0001,2014
4,21,GWS,AGW,0.397457043,46.84544935,2014
4,28,GWS,AGW,0.502263714,66.53893355,2014
4,35,GWS,AGW,0.384766993,5.270236415,2014
5,0,GWS,AGW,0.742053383,63.3862086,2014
5,7,GWS,AGW,0.382128239,43.02422599,2014
5,14,GWS,AGW,0.505367234,0.0001,2014
5,21,GWS,AGW,0.57836989,31.45681659,2014
5,28,GWS,AGW,0.819787968,81.30618985,2014
5,35,GWS,AGW,0.572431913,58.58815095,2014
6,0,GWS,AGW,0.916028253,46.76657673,2014
6,7,GWS,AGW,0.357761479,19.92052131,2014
6,14,GWS,AGW,0.357761479,33.05189759,2014
6,21,GWS,AGW,0.427780093,65.89685069,2014
6,28,GWS,AGW,0.34173629,56.13699261,2014
6,35,GWS,AGW,0.604431794,41.83426953,2014
7,0,GWS,RW,1.056380517,44.30188334,2014
7,7,GWS,RW,1.247816635,29.42084242,2014
7,14,GWS,RW,0.438448981,44.10316598,2014
7,21,GWS,RW,0.954605644,55.83646984,2014
7,28,GWS,RW,0.958915892,39.92811463,2014
7,35,GWS,RW,0.233510772,33.59152595,2014
8,0,GWS,RW,1.177345345,45.65110309,2014
8,7,GWS,RW,1.648047153,20.5622181,2014
8,14,GWS,RW,0.556681985,45.99953661,2014
8,21,GWS,RW,0.538866377,48.89819501,2014
8,28,GWS,RW,0.867296623,54.81076501,2014
8,35,GWS,RW,0.423797887,26.57479575,2014
9,0,GWS,RW,0.758659871,30.05306569,2014
9,7,GWS,RW,1.299613696,31.6941504,2014
9,14,GWS,RW,0.597568864,41.62918955,2014
9,21,GWS,RW,0.702746059,32.85916492,2014
9,28,GWS,RW,0.810982978,29.26587295,2014
9,35,GWS,RW,0.665745888,33.77799634,2014
10,0,RWS,RW,10.19863028,410.5930681,2014
10,7,RWS,RW,8.654727678,365.4951947,2014
10,14,RWS,RW,2.923049225,195.9874016,2014
10,21,RWS,RW,7.266590988,328.0488515,2014
10,28,RWS,RW,4.086837985,167.0289428,2014
10,35,RWS,RW,4.086837985,201.331718,2014
11,0,RWS,RW,8.848596644,434.1931468,2014
11,7,RWS,RW,6.358422295,347.832279,2014
11,14,RWS,RW,4.789812264,355.1823093,2014
11,21,RWS,RW,6.543352145,224.3552154,2014
11,28,RWS,RW,4.381125291,209.5782512,2014
11,35,RWS,RW,5.410160782,202.1394636,2014
12,0,RWS,RW,7.549754946,494.565228,2014
12,7,RWS,RW,6.775404193,453.100819,2014
12,14,RWS,RW,2.71906769,185.5796774,2014
12,21,RWS,RW,4.994417238,193.4394164,2014
12,28,RWS,RW,3.468090217,318.831137,2014
12,35,RWS,RW,5.049339003,173.583058,2014
13,0,RWS,ARW,9.21563322,741.7722711,2014
13,7,RWS,ARW,5.240223024,515.3220902,2014
13,14,RWS,ARW,5.332915945,259.2152823,2014
13,21,RWS,ARW,8.986617844,507.8495783,2014
13,28,RWS,ARW,2.653169597,272.0880719,2014
13,35,RWS,ARW,3.906764552,315.0709259,2014
14,0,RWS,ARW,4.209363983,628.1564061,2014
14,7,RWS,ARW,6.136380796,519.9345162,2014
14,14,RWS,ARW,2.650100691,262.6530041,2014
14,21,RWS,ARW,4.980828949,398.4953837,2014
14,28,RWS,ARW,2.714124679,344.4000334,2014
14,35,RWS,ARW,5.337377004,224.7940367,2014
15,0,RWS,ARW,4.147419398,778.5280551,2014
15,7,RWS,ARW,5.862695218,470.0884669,2014
15,14,RWS,ARW,4.985419164,437.5776517,2014
15,21,RWS,ARW,4.985419164,328.5307721,2014
15,28,RWS,ARW,3.162708866,439.6389385,2014
15,35,RWS,ARW,3.4430659,451.5925161,2014
16,0,RWS,GW,3.30095683,698.8258915,2014
16,7,RWS,GW,5.520436503,407.1527101,2014
16,14,RWS,GW,3.057377908,436.7439672,2014
16,21,RWS,GW,3.586378806,413.4662324,2014
16,28,RWS,GW,2.932022797,411.1180621,2014
16,35,RWS,GW,3.925910509,415.8336811,2014
17,0,RWS,GW,8.72207646,798.8872296,2014
17,7,RWS,GW,3.27478814,410.3975952,2014
17,14,RWS,GW,1.26422047,301.0327797,2014
17,21,RWS,GW,6.350272791,390.5962382,2014
17,28,RWS,GW,3.303771449,331.1255076,2014
17,35,RWS,GW,2.793572734,192.0617379,2014
18,0,RWS,GW,5.370799954,340.0276518,2014
18,7,RWS,GW,2.981260094,164.2085233,2014
18,14,RWS,GW,1.647141956,180.0422415,2014
18,21,RWS,GW,4.493297245,186.7284716,2014
18,28,RWS,GW,2.203187373,177.8313219,2014
18,35,RWS,GW,3.444912321,154.9607034,2014
19,0,PZS,GW,1.142336887,117.2291949,2014
19,7,PZS,GW,1.030766422,16.50439094,2014
19,14,PZS,GW,0.606462193,6.716829354,2014
19,21,PZS,GW,1.681820778,50.53687307,2014
19,28,PZS,GW,0.537572348,40.8620824,2014
19,35,PZS,GW,0.869084398,48.51255164,2014
20,0,PZS,GW,2.285769468,91.57906142,2014
20,7,PZS,GW,1.080665631,34.24420117,2014
20,14,PZS,GW,1.00004536,44.90302759,2014
20,21,PZS,GW,0.72232552,30.31922162,2014
20,28,PZS,GW,1.141641975,50.08387234,2014
20,35,PZS,GW,0.815036986,40.49622271,2014
21,0,PZS,GW,1.367976655,96.11952359,2014
21,7,PZS,GW,0.81830466,23.3419343,2014
21,14,PZS,GW,0.452369531,20.93350163,2014
21,21,PZS,GW,0.759327471,25.26785019,2014
21,28,PZS,GW,1.072269789,73.35154118,2014
21,35,PZS,GW,1.072269789,47.80179494,2014
22,0,PZS,AGW,2.119674057,103.7423809,2014
22,7,PZS,AGW,1.610377924,43.43007937,2014
22,14,PZS,AGW,0.841349124,6.948686988,2014
22,21,PZS,AGW,1.005983333,93.43711423,2014
22,28,PZS,AGW,0.669455333,63.44905251,2014
22,35,PZS,AGW,1.106164224,100.1173186,2014
23,0,PZS,AGW,1.992606468,139.9643309,2014
23,7,PZS,AGW,1.520201985,117.6580182,2014
23,14,PZS,AGW,1.189141433,62.19157818,2014
23,21,PZS,AGW,0.871841254,83.01429514,2014
23,28,PZS,AGW,0.740046745,74.37311783,2014
23,35,PZS,AGW,0.740046745,34.3609164,2014
24,0,PZS,RW,1.235225103,65.22242572,2014
